link_id,from_node_id,to_node_id,geometry,vdf_length_mi,length,link_type,vdf_code,free_speed,vdf_free_speed_mph,vdf_fftt,capacity,dir_flag,vdf_alpha,vdf_beta,lanes,vdf_tollsov,vdf_tollhov2,vdf_tollhov3,vdf_tollapv,vdf_tolltrk,vdf_tollcom,allowed_uses,vdf_plf
11,38112,38488,"LINESTRING (-77.622328 38.955522, -77.624237 38.936613)",1.31,2108.2354,603,603,52,52,1.51,900,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
12,38112,55001,"LINESTRING (-77.622328 38.955522, -77.611957 38.944155)",0.98955,1592.522397,504,504,40,40,1.48,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
13,38488,3723,"LINESTRING (-77.624237 38.936613, -77.625038 38.931782)",0.34,547.1756,603,603,52,52,0.39,900,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
14,38488,38112,"LINESTRING (-77.624237 38.936613, -77.622328 38.955522)",1.31,2108.2354,603,603,52,52,1.51,900,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
15,38488,38489,"LINESTRING (-77.624237 38.936613, -77.607979 38.937693)",0.88,1416.2192,504,504,40,40,1.32,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
16,38489,2400,"LINESTRING (-77.607979 38.937693, -77.593115 38.916173)",1.69,2719.7846,500,500,35,35,2.9,3150,1,0.1,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
17,38489,38488,"LINESTRING (-77.607979 38.937693, -77.624237 38.936613)",0.88,1416.2192,504,504,40,40,1.32,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
18,38489,38490,"LINESTRING (-77.607979 38.937693, -77.606145 38.937861)",0.1,160.934,504,504,40,40,0.15,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
19,38490,3726,"LINESTRING (-77.606145 38.937861, -77.590441 38.930341)",1.0,1609.34,504,504,40,40,1.5,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
20,38490,38489,"LINESTRING (-77.606145 38.937861, -77.607979 38.937693)",0.1,160.934,504,504,40,40,0.15,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
21,38490,38491,"LINESTRING (-77.606145 38.937861, -77.584346 38.947135)",1.54,2478.3836,504,504,40,40,2.31,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
22,38490,55001,"LINESTRING (-77.606145 38.937861, -77.611957 38.944155)",0.5502,885.4588679999999,504,504,40,40,0.83,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
23,38491,2402,"LINESTRING (-77.584346 38.947135, -77.600503 38.950677)",0.90045,1449.130203,500,500,35,35,1.54,3150,1,0.1,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
24,38491,3724,"LINESTRING (-77.584346 38.947135, -77.580048 38.953013)",0.51,820.7633999999999,504,504,40,40,0.76,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
25,38491,38490,"LINESTRING (-77.584346 38.947135, -77.606145 38.937861)",1.54,2478.3836,504,504,40,40,2.31,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
26,55001,2402,"LINESTRING (-77.611957 38.944155, -77.600503 38.950677)",0.78081,1256.5887653999998,500,500,35,35,1.34,3150,1,0.1,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
27,55001,38112,"LINESTRING (-77.611957 38.944155, -77.622328 38.955522)",0.98955,1592.522397,504,504,40,40,1.48,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
28,55001,38490,"LINESTRING (-77.611957 38.944155, -77.606145 38.937861)",0.5502,885.4588679999999,504,504,40,40,0.83,800,1,0.96,2.3,1,0.0,0.0,0.0,0.0,0.0,0.0,sov;hov2;hov3;trk;apv;com,1
