name,link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,link_type,vdf_alpha,vdf_beta,ref_volume,obs_volume,vdf_fftt,vdf_toll,geometry
,19,8,6,1,2808.978305016525,1.745422536578054,1,4898.587646,84.26934915049576,52.3625297509927,1,0.15,4,12901.775,,2,,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)"
,20,8,7,1,1456.867476439527,0.9052577307713269,1,7841.81131,29.13734952879054,18.105104014054106,1,0.15,4,12528.57,,3,,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)"
,21,8,9,1,2211.653627884352,1.3742612672799732,1,5050.193156,13.26992176730611,8.245544558472766,1,0.15,4,7211.184,,10,,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)"
,22,8,16,1,1732.4194044229807,1.076478186351536,1,5045.822583,20.789032853075767,12.917702132948543,1,0.15,4,8565.569,,5,,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)"
,23,9,5,1,1716.720751607681,1.066723471489978,1,10000.0,20.60064901929217,12.800645881766595,1,0.15,4,15636.311,,5,,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)"
,24,9,8,1,2211.585252065123,1.3742187804100583,1,5050.193156,13.269511512390736,8.245289637965744,1,0.15,4,7156.641,,10,,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)"
,25,9,10,1,370.06096124224604,0.22994579221435252,1,13915.78842,7.401219224844921,4.598902990961113,1,0.15,4,21936.92,,3,,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)"
,26,10,9,1,370.1755034330001,0.2300169656088832,1,13915.78842,7.403510068660001,4.600326454873334,1,0.15,4,21903.76,,3,,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)"
,27,10,11,1,1247.82531623166,0.7753646316077772,1,10000.0,14.97390379477992,9.304349574866194,1,0.15,4,17616.918,,5,,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)"
,28,10,15,1,1764.673757122077,1.0965201617570415,1,13512.00155,17.64673757122077,10.96517097136702,1,0.15,4,22471.785,,6,,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)"
,29,10,16,1,1624.8092044762593,1.0096121419192088,1,4854.917717,24.37213806714389,15.144139802919266,1,0.15,4,11370.813,,4,,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)"
,30,10,17,1,1676.4111962261577,1.041676212749424,1,4993.510694,12.573083971696182,7.812549760576828,1,0.15,4,8099.999,,8,,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)"
,31,11,4,1,2171.0225317346126,1.3490142118723283,1,4908.82673,21.710225317346126,13.49010441566468,1,0.15,4,5449.17,,6,,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)"
,32,11,10,1,1247.916314570526,0.775421175494629,1,10000.0,14.974995774846311,9.305028099612027,1,0.15,4,17464.998,,5,,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)"
,33,11,12,1,2683.7027617962185,1.667579729451961,1,4908.82673,26.837027617962182,16.67575068800078,1,0.15,4,8377.522,,6,,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)"
,34,11,14,1,1682.7767742173241,1.0456316093661528,1,4876.508287,25.24165161325986,15.684430304582893,1,0.15,4,9587.549,,4,,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)"
,35,12,3,1,3261.0431657937133,2.0263233162623893,1,23403.47319,48.9156474869057,30.39476479458608,1,0.15,4,10279.792,,4,,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)"
,36,12,11,1,2683.726310169993,1.6675943617694169,1,4908.82673,26.837263101699932,16.675897010766388,1,0.15,4,8460.422,,6,,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)"
,37,12,13,1,6014.864295359177,3.737472687784544,1,25900.20064,120.29728590718354,74.74924484143254,1,0.15,4,13227.405,,3,,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)"
,38,13,12,1,6014.864697333456,3.7374729375604017,1,25900.20064,120.29729394666913,74.74924983693575,1,0.15,4,13316.306,,3,,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)"
,39,13,24,1,3823.175799396367,2.3756172091642336,1,5091.256152,57.3476369909455,35.634158544700796,1,0.15,4,10975.704,,4,,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)"
,40,14,11,1,1682.7931328558082,1.0456417741781154,1,4876.508287,25.24189699283712,15.684582776336194,1,0.15,4,9661.071,,4,,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)"
,41,14,15,1,1574.68952752232,0.9784691410903353,1,5127.526119,18.89627433026784,11.741596876872858,1,0.15,4,8967.315,,5,,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)"
,42,14,23,1,1606.5812906609744,0.9982858132283884,1,4924.790605,24.098719359914615,14.974245347389504,1,0.15,4,8224.451,,4,,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)"
,43,15,10,1,1764.673998299195,1.0965203116179274,1,13512.00155,17.646739982991953,10.965172469971693,1,0.15,4,22484.834,,6,,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)"
,44,15,14,1,1574.6756911486978,0.9784605435449923,1,5127.526119,18.896108293784373,11.74149370661709,1,0.15,4,9041.501,,5,,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)"
,45,15,19,1,1627.5929484056905,1.0113418845027717,1,14564.75315,32.551858968113805,20.226781158875845,1,0.15,4,17955.973,,3,,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)"
,46,15,22,1,1617.2480748171668,1.0049138620907745,1,9599.180565,32.34496149634334,20.098221069944355,1,0.15,4,18078.322,,3,,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)"
,47,16,8,1,1732.4194044229807,1.076478186351536,1,5045.822583,20.789032853075767,12.917702132948543,1,0.15,4,8596.646,,5,,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)"
,48,16,10,1,1624.71493164121,1.0095535633497024,1,4854.917717,24.370723974618148,15.143261126832453,1,0.15,4,11376.53,,4,,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)"
,49,16,17,1,607.5699374685181,0.3775273947509651,1,5229.910063,18.22709812405554,11.325790188442516,1,0.15,4,10895.549,,2,,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)"
,50,16,18,1,1394.6322455975576,0.8665864550670198,1,19679.89671,27.89264491195115,17.331680661584,1,0.15,4,16700.59,,3,,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)"
,51,17,10,1,1676.3200252784097,1.0416195616081187,1,4993.510694,12.572400189588073,7.812124878204531,1,0.15,4,8099.999,,8,,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)"
,52,17,16,1,607.5699374685181,0.3775273947509651,1,5229.910063,18.22709812405554,11.325790188442516,1,0.15,4,10905.318,,2,,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)"
,53,17,19,1,1299.7702224176865,0.807641780119606,1,4823.950831,38.993106672530594,24.229185686217008,1,0.15,4,9948.753,,2,,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)"
,54,18,7,1,1902.1706343087492,1.1819569726153265,1,23403.47319,57.065119029262476,35.45861007633185,1,0.15,4,15708.296,,2,,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)"
,55,18,16,1,1394.6200064718232,0.8665788500079681,1,19679.89671,27.892400129436464,17.331528560828065,1,0.15,4,16727.611,,3,,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)"
,56,18,20,1,3755.0563085289036,2.3332896147047264,1,23403.47319,56.325844627933556,34.999246402303704,1,0.15,4,20692.295,,4,,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)"
,57,19,15,1,1627.5786488788879,1.0113329991666695,1,14564.75315,32.551572977577756,20.22660345265047,1,0.15,4,17964.596,,3,,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)"
,58,19,17,1,1299.7702224158393,0.8076417801184581,1,4823.950831,38.99310667247518,24.229185686182575,1,0.15,4,9958.525,,2,,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)"
,59,19,20,1,1585.4546869857716,0.9851583176866118,1,5002.607563,23.78182030478657,14.777333464605537,1,0.15,4,7899.545,,4,,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)"
,60,20,18,1,3755.0584332354256,2.3332909349394324,1,23403.47319,56.32587649853138,34.99926620576894,1,0.15,4,20707.057,,4,,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)"
,61,20,19,1,1585.454686981751,0.9851583176841134,1,5002.607563,23.781820304726264,14.777333464568063,1,0.15,4,7917.937,,4,,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)"
,62,20,21,1,1684.8047100208926,1.0468917133861662,1,5059.91234,16.848047100208923,10.468887874703919,1,0.15,4,6445.915,,6,,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)"
,63,20,22,1,1618.2093560195076,1.005511176022163,1,5075.697193,19.418512272234093,12.066100389110371,1,0.15,4,7000.0,,5,,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)"
,64,21,20,1,1684.7820204478694,1.0468776147040835,1,5059.91234,16.847820204478694,10.468746888277131,1,0.15,4,6379.069,,6,,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)"
,65,21,22,1,486.71489299371194,0.30243136502772067,1,5229.910063,14.601446789811357,9.072915593231873,1,0.15,4,8315.617,,2,,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)"
,66,21,24,1,1679.9161028744295,1.0438540661851627,1,4885.357564,33.59832205748859,20.877022975183742,1,0.15,4,10299.105,,3,,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)"
,67,22,15,1,1617.2480747712873,1.0049138620622662,1,9599.180565,32.34496149542575,20.098221069374194,1,0.15,4,18056.934,,3,,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)"
,68,22,20,1,1618.1465779805862,1.0054721674603169,1,5075.697193,19.417758935767033,12.065632287676497,1,0.15,4,7000.0,,5,,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)"
,69,22,21,1,486.714893479732,0.30243136532972026,1,5229.910063,14.601446804391959,9.072915602291836,1,0.15,4,8299.461,,2,,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)"
,70,22,23,1,1585.5822027837264,0.985237552526953,1,5000.0,23.783733041755895,14.778521983888902,1,0.15,4,9604.388,,4,,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)"
,71,23,14,1,1606.5812906542124,0.9982858132241866,1,4924.790605,24.098719359813185,14.974245347326478,1,0.15,4,8223.786,,4,,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)"
,72,23,22,1,1585.59612856133,0.9852462056254926,1,5000.0,23.78394192841995,14.778651780004232,1,0.15,4,9566.843,,4,,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)"
,73,23,24,1,1307.556656578481,0.8124800580228423,1,5078.508436,39.22669969735443,24.37433361764482,1,0.15,4,7742.693,,2,,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)"
,74,24,13,1,3823.072566203031,2.375553062872377,1,5091.256152,57.346088493045464,35.63319635301215,1,0.15,4,10964.604,,4,,"LINESTRING (-96.749272 43.503419, -96.793448 43.490962)"
,75,24,21,1,1679.9432398065335,1.0438709283349283,1,4885.357564,33.59886479613067,20.87736021723651,1,0.15,4,10248.417,,3,,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)"
,76,24,23,1,1307.556638394387,0.8124800467237421,1,5078.508436,39.2266991518316,24.374333278672754,1,0.15,4,7704.481,,2,,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)"
